ParkName,hours,visits,hours_per_visit,latitude,longitude,OBJECTID,UNIT_CODE,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,PARKNAME,CreationDate,Creator,EditDate,Editor,GlobalID,AreaID
Dry Tortugas NP,"632,903","83,817",7.551009938,24.64575384,-82.87411026,316,DRTO,Dry Tortugas National Park,2007-11-07T00:00:00Z,FL,SE,307632,National Park,Lands,Dry Tortugas,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,d87e3473-a379-411a-82ae-8d2fc4e82105,190
Everglades NP,"4,783,981","942,130",5.077835331,25.28257275,-80.95484118,376,EVER,Everglades National Park,2019-06-24T00:00:00Z,FL,SE,293666,National Park,Lands,Everglades,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,b328036f-7362-4721-a4d7-deb62fef288e,187
Gates of the Arctic NP & PRES,"42,489","7,362",5.771393643,67.76225954,-153.2698816,18,GAAR,Gates of the Arctic National Park,2019-03-21T00:00:00Z,AK,AK,1416040,National Park,Lands,Gates of the Arctic,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,f77c3e42-1b95-42e5-84ff-466583ad8828,409
Gateway Arch NP,"4,580,325","1,145,081",4.000000873,38.62346082,-90.17541098,166,JEFF,Gateway Arch National Park,2010-10-28T00:00:00Z,MO,MW,765817,National Park,Lands,Gateway Arch,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,e3ca33d1-51f7-4a6f-b0f9-f188672e33ab,266
Glacier Bay NP & PRES,"1,607,101","89,768",17.90282729,58.82740767,-136.8691278,134,GLBA,Glacier Bay National Park,2022-03-24T00:00:00Z,AK,AK,1416041,National Park,Lands,Glacier Bay,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,3213580d-2c55-453d-990d-f8fe4e6b20f2,411
Glacier NP,"30,659,891","3,081,656",9.949160776,48.61885639,-113.7562826,320,GLAC,Glacier National Park,2017-08-18T00:00:00Z,MT,IM,1803454,National Park,Lands,Glacier,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,055ac87a-fb3e-45d0-b04c-25f47c17c428,61
Grand Canyon NP,"71,129,791","4,532,677",15.69266705,36.30988425,-112.2996985,218,GRCA,Grand Canyon National Park,2021-01-08T00:00:00Z,AZ,IM,23866,National Park,Lands,Grand Canyon,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,bdfe28e5-6c70-44b8-a79a-cc8c3a49b69a,336
Grand Teton NP,"24,023,027","3,885,230",6.183167277,43.82629939,-110.6855868,340,GRTE,Grand Teton National Park,2022-03-02T00:00:00Z,WY,IM,1597571,National Park,Lands,Grand Teton,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,cbb2b142-7414-4575-b354-2b48822974b5,65
Great Basin NP,"1,638,115","144,875",11.30709232,38.92719041,-114.2442683,106,GRBA,Great Basin National Park,2009-09-10T00:00:00Z,NV,PW,862430,National Park,Lands,Great Basin,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,69f172c6-c74b-4c58-9035-39623c9033ca,347
Great Sand Dunes NP & PRES,"3,287,103","602,613",5.454749566,37.76689648,-105.6130132,97,GRSA,Great Sand Dunes National Park,2022-02-01T00:00:00Z,CO,IM,2733443,National Park,Lands,Great Sand Dunes,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,97730a83-63b5-4760-bf8b-79b681953697,67
Great Smoky Mountains NP,"103,573,928","14,161,548",7.313743385,35.62215504,-83.49809989,146,GRSM,Great Smoky Mountains National Park,2013-12-18T00:00:00Z,TN,SE,1018241,National Park,Lands,Great Smoky Mountains,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,90214105-7642-4c01-a887-e5cc45ecd55a,206
Guadalupe Mountains NP,"552,116","243,291",2.26936467,31.90685717,-104.900805,312,GUMO,Guadalupe Mountains National Park,2010-12-21T00:00:00Z,TX,IM,1377201,National Park,Lands,Guadalupe Mountains,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,c49e5bc6-9705-4b75-811f-9af9bda1b234,292
Haleakala NP,"1,940,148","853,181",2.274016885,20.69943063,-156.1325518,111,HALE,Haleakala National Park,2017-01-26T00:00:00Z,HI,PW,358382,National Park,Lands,Haleakala,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,e4aa7c2c-041c-4a5f-b57a-dfcc9bf54e7c,338
Hawaii Volcanoes NP,"8,046,272","1,262,747",6.372038104,19.30309156,-155.239545,154,HAVO,Hawai'i Volcanoes National Park,2022-03-03T00:00:00Z,HI,PW,365210,National Park,Lands,Hawaii Volcanoes,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,6f4411dc-6efe-4063-bc1b-0fa1eab8bbfc,339
